2023-10 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-02,91,"581,400",0,0,0,0,0,0,0,0,0,0,"31,500","55,100","122,900","150,000","113,000","28,800","42,100","38,000",0,0,0,0,0,0
2023-10-03,76,"473,900",0,0,0,0,0,0,0,0,0,"4,800","22,600","31,200","101,600","56,800","88,900","59,300","62,100","46,600",0,0,0,0,0,0
2023-10-04,120,"600,600",0,0,0,0,0,0,0,0,"39,600","67,100","54,900","73,700","105,100","52,200","70,100","48,600","28,100","13,700","18,600","18,100","4,000","6,800",0,0
2023-10-05,168,"995,600",0,0,0,0,0,0,0,0,"37,600","132,600","39,100","12,500","182,000","197,100","120,200","52,800","35,900","47,100","48,000","20,100","39,000","31,600",0,0
2023-10-06,192,"1,148,900",0,0,0,0,0,0,0,0,"66,900","68,600","75,000","80,400","192,300","192,200","94,800","92,600","79,900","77,800","59,600","42,900","23,400","2,500",0,0
2023-10-07,160,"939,700",0,0,0,0,0,0,0,0,"12,800","60,000","111,500","51,900","103,500","99,600","161,900","85,000","77,900","78,200","37,200","25,100","26,600","8,500",0,0
2023-10-08,70,"457,200",0,0,0,0,0,0,0,0,0,0,"18,300","26,100","98,900","135,500","24,100","75,700","61,500","17,100",0,0,0,0,0,0
2023-10-09,101,"566,200",0,0,0,0,0,0,0,0,0,"17,900","51,900","15,300","76,300","109,200","73,300","77,300","94,400","22,500","28,100",0,0,0,0,0
2023-10-10,177,"1,018,300",0,0,0,0,0,0,0,0,"33,000","89,000","32,600","42,900","232,200","184,800","63,500","69,400","110,000","70,400","33,600","38,500","2,500","15,900",0,0
2023-10-11,165,"956,800",0,0,0,0,0,0,0,0,"52,300","93,300","49,300","82,400","147,600","196,400","66,700","69,700","49,000","28,600","37,100","28,700","38,700","17,000",0,0
2023-10-12,146,"769,900",0,0,0,0,0,0,0,0,"31,900","81,300","51,400","54,400","174,700","110,300","35,300","55,500","56,400","27,700","28,800","51,700","2,500","8,000",0,0
2023-10-13,168,"942,800",0,0,0,0,0,0,0,0,"57,100","75,000","33,600","58,200","181,400","109,300","73,400","72,200","78,900","67,400","32,800","44,400","43,000","16,100",0,0
2023-10-14,138,"823,100",0,0,0,0,0,0,0,0,"6,500","88,500","75,200","64,100","29,800","95,900","111,900","96,200","92,300","60,900","6,500","22,800","49,400","23,100",0,0
2023-10-15,72,"458,100",0,0,0,0,0,0,0,0,0,0,"43,100","52,600","97,100","87,800","53,300","57,200","54,700","12,300",0,0,0,0,0,0
2023-10-16,146,"789,500",0,0,0,0,0,0,0,0,"20,000","93,800","58,500","104,100","92,200","101,500","81,600","25,900","63,800","33,200","18,000","51,200","29,200","16,500",0,0
2023-10-17,145,"862,900",0,0,0,0,0,0,0,0,"42,400","110,700","72,100","16,100","134,200","108,900","59,800","71,900","50,500","51,400","50,200","41,200","44,900","8,600",0,0
2023-10-18,163,"955,200",0,0,0,0,0,0,0,0,"77,400","87,700","49,700","36,800","120,300","148,000","77,100","95,100","59,000","30,600","32,500","44,500","56,600","39,900",0,0
2023-10-19,162,"1,003,075",0,0,0,0,0,0,0,0,"21,800","64,300","61,000","60,100","153,100","110,875","87,500","164,800","51,600","47,900","51,500","23,900","90,900","13,800",0,0
2023-10-20,162,"990,500",0,0,0,0,0,0,0,0,"23,000","43,700","89,500","62,900","207,600","121,600","74,500","86,900","75,500","34,400","30,600","59,300","47,500","33,500",0,0
2023-10-21,153,"911,900",0,0,0,0,0,0,0,0,"6,300","114,400","45,100","52,800","145,900","88,300","88,600","119,900","62,900","40,100","74,600","51,800","21,200",0,0,0
2023-10-22,76,"478,800",0,0,0,0,0,0,0,0,0,0,"36,100","23,400","123,600","114,900","45,400","102,900","19,400","13,100",0,0,0,0,0,0
2023-10-23,157,"968,100",0,0,0,0,0,0,0,0,"22,400","129,000","43,900","50,900","127,100","143,900","93,200","75,700","58,100","27,900","42,600","34,900","61,600","56,900",0,0
2023-10-24,179,"1,093,300",0,0,0,0,0,0,0,0,"41,600","60,600","79,600","69,500","159,500","178,600","101,300","83,400","111,700","67,500","39,600","13,100","67,000","20,300",0,0
2023-10-25,176,"1,036,500",0,0,0,0,0,0,0,0,"25,600","129,500","80,400","27,400","184,900","143,300","105,600","62,900","82,600","53,300","33,000","49,500","32,700","25,800",0,0
2023-10-26,164,"967,400",0,0,0,0,0,0,0,0,"6,000","80,000","45,300","50,500","133,500","117,400","111,800","92,800","122,400","67,700","32,600","36,700","54,400","16,300",0,0
2023-10-27,154,"901,400",0,0,0,0,0,0,0,0,"39,900","57,000","39,400","110,000","184,700","85,300","86,200","31,100","94,800","30,000","28,800","43,000","57,200","14,000",0,0
2023-10-28,164,"982,800",0,0,0,0,0,0,0,0,"12,000","76,200","50,600","50,900","148,900","162,600","139,100","75,600","83,100","44,800","8,000","92,000","27,900","11,100",0,0
2023-10-29,62,"340,600",0,0,0,0,0,0,0,0,0,0,"11,500","22,300","45,700","68,100","61,800","81,700","44,500","5,000",0,0,0,0,0,0
2023-10-30,148,"847,700",0,0,0,0,0,0,0,0,"34,800","62,200","37,400","83,200","203,900","99,500","74,400","90,000","19,100","52,500","39,100","25,600","22,000","4,000",0,0
2023-10-31,161,"879,500",0,0,0,0,0,0,0,0,"17,600","88,000","44,400","69,300","164,000","141,200","58,700","93,400","59,500","30,000","41,000","34,000","31,900","6,500",0,0
Total,"4,216","24,741,675",0,0,0,0,0,0,0,0,"728,500","1,975,200","1,534,500","1,591,000","4,174,500","3,711,075","2,497,000","2,294,300","1,981,700","1,237,700","852,400","893,000","874,100","396,700",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,"4,216","24,857,900",,카드,"3,505","20,604,175",,,,,,,,,,,,,,,,,,,,
포인트사용,28,"116,225",,삼성페이,597,"3,640,100",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"24,741,675",,현금,95,"497,400",,,,,,,,,,,,,,,,,,,,
,,,,무료,19, ,,,,,,,,,,,,,,,,,,,,
