2023-10 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-10-01,35,"270,100",0,0,0,0,0,0,0,0,0,0,"31,700","18,300","16,200","72,800","31,600","22,000","71,100","2,500","3,900",0,0,0,0,0
2023-10-02,26,"129,900",0,0,0,0,0,0,0,0,0,0,"10,000","17,200","14,000","34,300","26,700",0,"25,200","2,500",0,0,0,0,0,0
2023-10-03,18,"88,200",0,0,0,0,0,0,0,0,0,0,"14,000","11,000","13,300",0,"17,700","4,800","21,900","5,500",0,0,0,0,0,0
2023-10-04,123,"840,982",0,0,0,0,0,0,0,"5,000","74,300","56,582","20,000","81,600","381,000","93,900","26,800","70,200","5,000","4,800",0,"14,500","7,300",0,0,0
2023-10-05,124,"1,051,400",0,0,0,0,0,0,0,0,"147,600","99,000","8,500","109,000","444,000","129,000","18,000","19,100","25,800","9,500","23,100","7,500","6,000","5,300",0,0
2023-10-06,135,"1,043,410",0,0,0,0,0,0,0,"8,000","46,710","54,100","30,800","104,000","442,000","161,300","50,000","13,500","9,600","32,000","27,000","35,200","29,200",0,0,0
2023-10-07,46,"263,200",0,0,0,0,0,0,0,0,0,0,"40,900","55,100","35,900","62,700","13,000","8,800","36,100","10,700",0,0,0,0,0,0
2023-10-08,44,"359,000",0,0,0,0,0,0,0,0,0,0,"68,000","31,000","70,400","89,000","32,800","50,800","13,800","3,200",0,0,0,0,0,0
2023-10-09,33,"159,700",0,0,0,0,0,0,0,0,0,0,"13,100","16,500","22,800","37,000","16,800","10,500","43,000",0,0,0,0,0,0,0
2023-10-10,119,"718,200",0,0,0,0,0,0,0,"7,300","49,500","49,000","8,100","40,100","291,800","103,100","20,800","25,900","29,100","18,100",0,"30,900","41,200","3,300",0,0
2023-10-11,125,"991,409",0,0,0,0,0,0,0,"4,800","25,800","73,900","10,000","113,800","435,199","218,110","39,800","17,300","3,700","8,000","15,900","2,500","17,300","5,300",0,0
2023-10-12,128,"895,971",0,0,0,0,0,0,0,"10,000","65,300","12,500","36,300","89,400","408,071","95,800","58,700","32,100","31,100","14,900","4,800","20,900","16,100",0,0,0
2023-10-13,140,"1,088,700",0,0,0,0,0,0,0,"2,500","52,100","42,000","62,800","109,500","452,700","156,300","66,100","8,500","3,500","5,000","66,500","22,400","18,700","20,100",0,0
2023-10-14,35,"193,100",0,0,0,0,0,0,0,0,0,0,"17,300","32,700",0,"27,700","71,400","33,700","7,800","2,500",0,0,0,0,0,0
2023-10-15,50,"389,200",0,0,0,0,0,0,0,0,0,0,"10,000","10,500","49,500","130,500","75,400","37,200","66,100","10,000",0,0,0,0,0,0
2023-10-16,134,"965,575",0,0,0,0,0,0,0,"5,000","46,300","38,000","25,300","100,675","472,400","119,300","61,400","19,400","19,600","4,800","14,800","24,100","14,500",0,0,0
2023-10-17,152,"1,069,800",0,0,0,0,0,0,0,"6,000","38,100","48,700","37,300","84,000","521,400","164,900","41,500","23,900","31,600",0,"39,400","19,700","3,500","9,800",0,0
2023-10-18,142,"1,134,300",0,0,0,0,0,0,0,0,"55,500","51,100","41,300","163,900","419,500","176,300","58,200","39,100",0,"28,900","50,200","29,500","20,800",0,0,0
2023-10-19,113,"845,937",0,0,0,0,0,0,0,"13,800","34,600","29,500","26,800","45,500","415,337","198,700","38,400","5,800","6,200","7,800","5,000","9,400","9,100",0,0,0
2023-10-20,130,"958,100",0,0,0,0,0,0,0,"2,500","79,900","48,100","19,000","96,800","375,700","167,800","29,400","41,200","22,900","8,600","19,600","33,100","8,500","5,000",0,0
2023-10-21,44,"334,800",0,0,0,0,0,0,0,0,0,0,"78,500","46,300","64,600","41,700","43,500","35,600","22,100","2,500",0,0,0,0,0,0
2023-10-22,53,"350,600",0,0,0,0,0,0,0,0,0,0,"28,800","9,500","122,500","70,000","53,600","15,100","35,200","15,900",0,0,0,0,0,0
2023-10-23,134,"1,170,666",0,0,0,0,0,0,0,"2,500","151,300","53,600","59,000","92,000","515,166","100,900","8,500","24,300","34,200","44,100","9,700","25,300","45,600","4,500",0,0
2023-10-24,136,"1,004,900",0,0,0,0,0,0,0,0,"82,400","52,500","18,000","56,600","479,900","90,300","17,600","45,700","32,900","19,700","51,200","14,100","12,500","31,500",0,0
2023-10-25,150,"1,362,430",0,0,0,0,0,0,0,"2,500","58,500","62,857","88,600","74,700","540,008","158,965","39,800","41,300","167,100","65,500",0,"16,500","46,100",0,0,0
2023-10-26,123,"925,012",0,0,0,0,0,0,0,0,"70,100","84,000","19,300","71,000","365,220","98,339","45,700","28,600","13,053","37,200","20,100","39,900","28,400","4,100",0,0
2023-10-27,147,"1,098,900",0,0,0,0,0,0,0,0,"39,300","69,600","18,100","96,700","425,400","170,900","43,600","53,800","46,200","33,000","29,100","35,700","37,500",0,0,0
2023-10-28,53,"372,887",0,0,0,0,0,0,0,0,0,0,"29,100","12,500","91,187","132,300","76,600","9,600","16,600","5,000",0,0,0,0,0,0
2023-10-29,57,"393,200",0,0,0,0,0,0,0,0,0,0,"17,100","39,500","84,900","147,800","22,400","41,800","38,500","1,200",0,0,0,0,0,0
2023-10-30,141,"1,015,500",0,0,0,0,0,0,0,"2,500","70,700","64,400","43,100","130,300","431,600","135,900","15,100","42,600","21,500","5,000","6,000","35,700","7,000","4,100",0,0
2023-10-31,144,"1,100,541",0,0,0,0,0,0,0,"5,500","74,590","39,000","50,900","87,000","525,371","138,400","55,100","30,000","2,500","6,500","23,880","35,900","14,300","11,600",0,0
Total,"3,034","22,585,620",0,0,0,0,0,0,0,"77,900","1,262,600","1,028,439","981,700","2,046,675","8,927,059","3,524,014","1,216,000","852,200","902,953","414,900","410,180","452,800","383,600","104,600",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,"3,034","23,021,300",,카드,"2,260","17,429,508",,,,,,,,,,,,,,,,,,,,
포인트사용,108,"435,680",,삼성페이,643,"4,620,419",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"22,585,620",,현금,72,"535,693",,,,,,,,,,,,,,,,,,,,
,,,,무료,59, ,,,,,,,,,,,,,,,,,,,,
