2023-11 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-11-01,109,"819,500",0,0,0,0,0,0,0,"8,400","49,600","23,600","25,200","26,600","222,100","169,400","26,800","22,400","21,400","57,900","41,300","74,600","50,200",0,0,0
2023-11-02,137,"1,008,100",0,0,0,0,0,0,0,"66,000","38,000","44,600","38,500","14,600","245,800","137,700","105,700","73,900","51,800","33,400","23,800","43,400","69,200","21,700",0,0
2023-11-03,134,"1,026,070",0,0,0,0,0,0,0,"32,000","50,300","62,200","13,600","32,700","234,970","184,000","75,200","6,800","34,200","47,100","11,200","93,700","134,800","13,300",0,0
2023-11-04,83,"611,100",0,0,0,0,0,0,0,0,"2,800","69,900","51,700","18,000","43,900","95,700","88,000","62,100","62,900","7,900","47,800","23,300","37,100",0,0,0
2023-11-05,42,"372,050",0,0,0,0,0,0,0,0,0,0,0,0,"9,100","177,900","42,550","34,200","87,000","21,300",0,0,0,0,0,0
2023-11-06,105,"735,200",0,0,0,0,0,0,0,"6,800","17,700","49,400","21,400","35,400","118,000","150,100","51,500","35,300","19,100","10,400","58,200","100,200","45,900","15,800",0,0
2023-11-07,123,"971,940",0,0,0,0,0,0,0,"30,400","26,500","49,600","45,300","36,500","250,300","222,640","4,000","36,800","52,200","37,800","26,400","85,300","63,100","5,100",0,0
2023-11-08,99,"710,500",0,0,0,0,0,0,0,"15,400","62,100","35,200","14,700","26,400","174,400","154,700","18,800","38,200","23,100","13,500","12,000","42,800","39,300","39,900",0,0
2023-11-09,112,"799,200",0,0,0,0,0,0,0,"64,800","25,800","53,900","39,800","18,500","200,700","118,100","66,500",0,"2,800","5,100","33,600","100,400","66,400","2,800",0,0
2023-11-10,85,"684,860",0,0,0,0,0,0,0,"21,100","38,700","10,400","40,000","24,300","263,560","88,000","70,600","17,800","36,700","10,200","14,000","22,300","17,300","9,900",0,0
2023-11-11,74,"675,700",0,0,0,0,0,0,0,0,0,"34,100","56,400","24,300","50,400","90,000","58,100","91,000","83,500","15,700","42,900","71,900","45,000","12,400",0,0
2023-11-12,29,"313,400",0,0,0,0,0,0,0,0,0,0,0,0,0,"173,700","95,600","6,800","24,400","12,900",0,0,0,0,0,0
2023-11-13,112,"778,600",0,0,0,0,0,0,0,"12,400","84,600","38,000","17,900","26,300","190,200","147,800","20,800","43,200","47,700","7,900","84,800","10,800","19,000","27,200",0,0
2023-11-14,113,"820,400",0,0,0,0,0,0,0,"10,500","31,600","44,300","42,000","22,600","197,000","149,800","37,100","29,800","72,800","39,200","34,800","44,300","42,000","22,600",0,0
2023-11-15,111,"928,700",0,0,0,0,0,0,0,0,"40,300","37,400","26,000","35,900","230,000","140,000","24,200","120,800","44,700","13,000","32,400","104,500","37,300","42,200",0,0
2023-11-16,89,"640,700",0,0,0,0,0,0,0,"11,200","48,000","36,500","17,800","19,100","114,700","90,100","36,900","24,000","2,800","14,800","71,300","61,300","56,400","35,800",0,0
2023-11-17,98,"845,600",0,0,0,0,0,0,0,"14,500","45,200","51,600","29,200","30,500","193,800","134,000","12,400","25,500","17,200","19,300","12,100","78,600","138,900","42,800",0,0
2023-11-18,84,"610,600",0,0,0,0,0,0,0,0,"2,800","66,500","49,000","25,800","36,100","116,500","6,800","83,800","34,500",0,"81,300","62,300","33,500","11,700",0,0
2023-11-19,37,"321,065",0,0,0,0,0,0,0,0,0,0,0,0,"39,600","52,600","105,800","52,500","51,000","13,000","6,565",0,0,0,0,0
2023-11-20,129,"961,900",0,0,0,0,0,0,0,"63,700","81,200","33,900","11,900","29,700","278,700","133,900","39,400","53,500","25,700","46,700","63,400","32,300","59,100","8,800",0,0
2023-11-21,115,"874,000",0,0,0,0,0,0,0,"5,600","29,800","18,200","19,200","34,000","206,400","132,500","37,400","55,100","25,400","31,800","62,600","65,600","132,300","18,100",0,0
2023-11-22,113,"859,700",0,0,0,0,0,0,0,"17,200","63,600","15,300","31,300","19,300","209,000","126,400","46,900","33,700","66,800","5,100","60,800","54,400","86,400","23,500",0,0
2023-11-23,122,"971,700",0,0,0,0,0,0,0,"26,700","30,000","49,200","37,900","19,100","296,400","155,200","47,700","46,700","19,600","38,400","33,200","101,300","70,300",0,0,0
2023-11-24,106,"829,300",0,0,0,0,0,0,0,"28,800","56,700","31,100","28,300","4,000","182,900","136,500","42,000","72,100","25,800","49,700","24,700","64,000","38,800","43,900",0,0
2023-11-25,107,"869,900",0,0,0,0,0,0,0,0,"27,000","38,300","34,400","99,600","57,200","92,500","78,300","69,400","63,000","99,100","22,600","136,500","25,400","26,600",0,0
2023-11-26,35,"313,100",0,0,0,0,0,0,0,0,0,0,0,0,0,"127,200","61,700","52,400","65,600","6,200",0,0,0,0,0,0
2023-11-27,127,"939,100",0,0,0,0,0,0,0,"5,600","39,700","37,500","38,600","28,500","195,300","207,800",0,"66,400","28,000","28,700","68,500","78,300","76,800","39,400",0,0
2023-11-28,100,"743,705",0,0,0,0,0,0,0,"19,100","39,100","46,100","25,500","18,500","206,605","102,500","32,600","18,700","35,200","21,700","23,900","70,900","71,300","12,000",0,0
2023-11-29,104,"889,500",0,0,0,0,0,0,0,"12,400","34,000","9,600","28,700","19,600","208,700","143,100","75,800","14,500","45,800","5,100","19,500","79,900","181,600","11,200",0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"2,834","21,925,190",0,0,0,0,0,0,0,"472,600","965,100","986,400","784,300","689,800","4,655,835","3,950,340","1,409,150","1,287,400","1,170,700","712,900","1,013,665","1,702,900","1,637,400","486,700",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
매출합계내역,,,,결제수단별,,,,,,,,,,,,,,,,,,,,,,
총합계,"2,834","22,072,400",,카드,"2,217","17,921,895",,,,,,,,,,,,,,,,,,,,
포인트사용,43,"147,210",,삼성페이,523,"3,538,730",,,,,,,,,,,,,,,,,,,,
할인, , ,,간편결제, , ,,,,,,,,,,,,,,,,,,,,
총매출, ,"21,925,190",,현금,78,"464,565",,,,,,,,,,,,,,,,,,,,
,,,,무료,16, ,,,,,,,,,,,,,,,,,,,,
