2023-08 ¸ÅÃâ (Å°¿À½ºÅ©),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-08-01,65,425975,0,0,0,0,0,0,0,11900,21675,18000,29700,20900,113400,28900,49000,17300,22600,4000,19300,32600,0,36700,0,0
2023-08-02,108,769800,0,0,0,0,0,0,0,4000,48700,51200,48300,43100,146000,137100,74200,38000,16000,6800,49400,51700,23100,32200,0,0
2023-08-03,93,627700,0,0,0,0,0,0,0,7900,24800,22500,5100,19600,143800,70600,44400,51700,34900,36300,21800,46200,54000,44100,0,0
2023-08-04,85,634500,0,0,0,0,0,0,0,14000,19300,55700,44500,38300,98500,100500,46200,31700,35700,2800,34000,81000,7600,24700,0,0
2023-08-05,55,392400,0,0,0,0,0,0,0,0,0,2800,16000,30800,41100,59900,71000,60200,35300,9600,12200,27200,26300,0,0,0
2023-08-06,25,167300,0,0,0,0,0,0,0,0,0,0,0,0,0,60300,43300,19000,28000,16700,0,0,0,0,0,0
2023-08-07,75,664900,0,0,0,0,0,0,0,18800,23600,41400,53900,29500,120300,123900,97200,2800,33700,7900,21600,36500,53800,0,0,0
2023-08-08,87,598200,0,0,0,0,0,0,0,12300,16000,25800,41300,20700,162400,66600,38900,40400,22400,17900,19600,47200,53200,13500,0,0
2023-08-09,110,747800,0,0,0,0,0,0,0,13500,51100,13600,17400,11200,229300,148300,28700,39100,2800,29200,20000,59800,83800,0,0,0
2023-08-10,39,308100,0,0,0,0,0,0,0,9600,18300,24800,21300,23600,99400,55600,8400,47100,0,0,0,0,0,0,0,0
2023-08-11,76,544095,0,0,0,0,0,0,0,6800,28700,27200,15800,18600,106300,103600,40695,20400,22800,29300,31800,24300,27700,40100,0,0
2023-08-12,53,463700,0,0,0,0,0,0,0,0,0,1000,32600,17600,32200,80200,49500,21300,17800,20800,46400,57400,39500,47400,0,0
2023-08-13,50,398700,0,0,0,0,0,0,0,0,0,0,0,0,0,112400,48700,101000,80800,49200,6600,0,0,0,0,0
2023-08-14,73,518500,0,0,0,0,0,0,0,13100,19300,12900,6800,15100,127800,81100,14700,70000,27200,9100,52100,21400,34400,13500,0,0
2023-08-15,53,366500,0,0,0,0,0,0,0,0,2800,6800,30500,19000,50300,136200,47300,5100,64500,4000,0,0,0,0,0,0
2023-08-16,90,683600,0,0,0,0,0,0,0,7900,5600,29500,24600,10700,242100,148400,17000,41700,11200,6100,36500,21900,69400,11000,0,0
2023-08-17,125,969200,0,0,0,0,0,0,0,31900,49100,63200,28300,23000,184300,98500,147600,46100,32500,7900,114200,64800,72500,5300,0,0
2023-08-18,108,1073390,0,0,0,0,0,0,0,35100,14950,95700,10700,10400,93140,440400,53800,14700,94200,18900,62400,19100,102000,7900,0,0
2023-08-19,75,510200,0,0,0,0,0,0,0,0,0,23800,38600,24300,49800,51200,112600,36700,49100,10200,2800,75500,32800,2800,0,0
2023-08-20,24,150500,0,0,0,0,0,0,0,0,0,0,0,0,24300,35400,12400,40100,20000,18300,0,0,0,0,0,0
2023-08-21,84,605000,0,0,0,0,0,0,0,9600,43900,17300,46800,4000,187000,99100,28200,13500,9200,13500,48000,27500,39200,18200,0,0
2023-08-22,76,570100,0,0,0,0,0,0,0,4400,30000,48700,9600,20600,152300,90100,41700,8400,19200,5600,35600,11700,67600,24600,0,0
2023-08-23,73,564100,0,0,0,0,0,0,0,12400,78500,37800,39300,0,158900,48600,20700,12300,12700,16200,28000,36100,23000,39600,0,0
2023-08-24,130,889765,0,0,0,0,0,0,0,32200,54700,37165,22600,23500,237200,150100,62300,12200,31600,18800,66100,50100,78200,13000,0,0
2023-08-25,115,924190,0,0,0,0,0,0,0,17300,58100,27300,18100,28000,233390,182200,52200,37500,21100,8400,30300,90200,64800,55300,0,0
2023-08-26,78,575100,0,0,0,0,0,0,0,0,0,11900,19000,30600,50000,94500,101300,46900,78200,39400,11200,39000,37800,15300,0,0
2023-08-27,38,231900,0,0,0,0,0,0,0,0,0,0,0,0,0,34900,72300,33300,32200,59200,0,0,0,0,0,0
2023-08-28,100,603935,0,0,0,0,0,0,0,27900,28200,13270,24800,6880,112300,139000,12100,40400,22600,5600,17900,78085,61400,13500,0,0
2023-08-29,88,566005,0,0,0,0,0,0,0,9900,27900,22700,34200,23800,141600,39300,32605,23600,53800,7500,34100,10700,87600,16700,0,0
2023-08-30,100,764600,0,0,0,0,0,0,0,9600,51700,12900,51500,25700,194000,160400,61500,5600,5100,20600,39200,83000,22300,21500,0,0
2023-08-31,132,1151100,0,0,0,0,0,0,0,15600,78500,60500,14200,25400,470100,98300,115200,32800,11200,15400,57000,71200,33300,52400,0,0
Total,2483,18460855,0,0,0,0,0,0,0,325700,795425,805435,745500,564880,4001230,3275600,1645700,1010900,948400,515200,918100,1164185,1195300,549300,0,0
