2023-07 ¸ÅÃâ (Å°¿À½ºÅ©),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-07-01,66,492500,0,0,0,0,0,0,0,0,0,13500,27300,16300,72100,101900,67800,16600,11600,42300,2800,14000,106300,0,0,0
2023-07-02,35,316200,0,0,0,0,0,0,0,0,0,0,0,0,27000,76500,97900,54200,36500,24100,0,0,0,0,0,0
2023-07-03,96,764160,0,0,0,0,0,0,0,2800,53500,25500,27160,10600,191300,129900,75600,86400,16400,0,0,17100,127900,0,0,0
2023-07-04,87,599700,0,0,0,0,0,0,0,21300,51300,62300,39800,11900,198700,112400,11900,10100,4000,4400,56800,2800,12000,0,0,0
2023-07-05,104,817870,0,0,0,0,0,0,0,9600,16700,31200,2800,5100,238740,197800,122200,11200,22700,10900,7600,67800,55230,18300,0,0
2023-07-06,88,638700,0,0,0,0,0,0,0,5100,56200,11200,17500,11900,240700,145400,46200,27800,16200,2800,10200,22100,17500,7900,0,0
2023-07-07,130,830560,0,0,0,0,0,0,0,24800,44700,56900,16100,39700,167960,87700,78000,35700,15800,33600,31000,58000,103800,36800,0,0
2023-07-08,52,327400,0,0,0,0,0,0,0,0,0,6800,63900,20000,10700,13300,26200,14000,26000,14700,48100,42900,40800,0,0,0
2023-07-09,28,188200,0,0,0,0,0,0,0,0,0,0,0,0,0,52500,45400,35100,44500,10700,0,0,0,0,0,0
2023-07-10,96,652915,0,0,0,0,0,0,0,19200,19860,57000,12400,2655,148100,156300,25700,42000,12900,21200,41400,73400,20800,0,0,0
2023-07-11,78,577400,0,0,0,0,0,0,0,5100,12400,34700,35800,36500,130000,91300,43900,11700,0,51100,7900,39000,26500,51500,0,0
2023-07-12,114,902548,0,0,0,0,0,0,0,4248,47900,35000,23100,9600,220300,156800,19000,45300,42400,30200,50500,53300,115600,49300,0,0
2023-07-13,85,646100,0,0,0,0,0,0,0,22800,51800,39100,36700,25900,155300,32600,72600,12900,44600,0,23200,66000,58600,4000,0,0
2023-07-14,77,537400,0,0,0,0,0,0,0,21100,30000,53400,27100,13500,109300,86900,56000,17000,5100,8800,10000,34300,44000,20900,0,0
2023-07-15,80,578300,0,0,0,0,0,0,0,0,0,8000,66300,16300,73100,23400,83700,45700,12500,59500,67600,55700,25500,41000,0,0
2023-07-16,31,283500,0,0,0,0,0,0,0,0,0,0,0,0,0,102600,85100,38500,34800,22500,0,0,0,0,0,0
2023-07-17,92,627000,0,0,0,0,0,0,0,17600,35700,42800,39100,25900,155200,94200,25500,51400,15700,17800,15100,60000,25400,5600,0,0
2023-07-18,86,662760,0,0,0,0,0,0,0,9600,34100,24400,10700,22600,173500,136500,24800,70060,15700,12500,2800,72500,31600,21400,0,0
2023-07-19,117,774900,0,0,0,0,0,0,0,25300,79700,55200,38300,41000,230000,100600,26000,17500,12300,10700,33500,30600,66100,8100,0,0
2023-07-20,122,860000,0,0,0,0,0,0,0,27400,80100,45300,51600,38800,250600,86700,62800,64000,25400,15100,10700,46300,30200,25000,0,0
2023-07-21,98,744400,0,0,0,0,0,0,0,17600,43000,29300,8400,39400,256700,155200,29400,13400,20300,46400,19100,33900,7900,24400,0,0
2023-07-22,73,511400,0,0,0,0,0,0,0,0,0,28500,46400,2800,25600,40800,65000,2800,80900,21800,42300,81000,58900,14600,0,0
2023-07-23,20,233200,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,120700,61400,12200,11900,0,0,0,0,0,0
2023-07-24,84,598800,0,0,0,0,0,0,0,6100,27900,15800,18500,61200,190300,90700,19000,15200,15300,17300,26500,26600,50900,17500,0,0
2023-07-25,94,671400,0,0,0,0,0,0,0,19100,37500,32300,17700,12400,87200,179000,28000,34000,42300,44200,14000,66100,50800,6800,0,0
2023-07-26,105,738100,0,0,0,0,0,0,0,18000,30400,54300,13000,16400,146000,125200,66600,22600,24800,25000,45300,81500,58800,10200,0,0
2023-07-27,123,913035,0,0,0,0,0,0,0,10100,63300,64600,20800,48100,167435,141300,72600,73300,65700,29800,31600,89600,29700,5100,0,0
2023-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-30,28,174400,0,0,0,0,0,0,0,0,0,0,0,0,9100,17900,77200,14500,43700,12000,0,0,0,0,0,0
2023-07-31,84,572300,0,0,0,0,0,0,0,20200,15600,62400,13000,10400,134400,52900,39100,2800,16300,41200,15500,82400,60500,5600,0,0
Total,2373,17235148,0,0,0,0,0,0,0,307048,831660,889500,673460,538955,3809335,2815300,1613900,947160,736600,642500,613500,1216900,1225330,374000,0,0
