ds,y,count
2023-10-16,"999,220",142
2023-10-17,"843,165",128
2023-10-18,"996,200",137
2023-10-19,"595,400",89
2023-10-20,"762,700",112
2023-10-21,"1,008,900",117
2023-10-22,"382,700",54
2023-10-23,"938,800",139
2023-10-24,"838,875",131
2023-10-25,"877,800",121
2023-10-26,"811,300",119
2023-10-27,"963,190",125
2023-10-28,"692,200",94
2023-10-29,"415,500",48
2023-10-30,"655,900",104
2023-10-31,"828,810",114
2023-11-01,"819,500",109
2023-11-02,"1,008,100",137
2023-11-03,"1,026,070",134
2023-11-04,"611,100",83
2023-11-05,"372,050",42
2023-11-06,"735,200",105
2023-11-07,"971,940",123
2023-11-08,"710,500",99
2023-11-09,"799,200",112
2023-11-10,"684,860",85
2023-11-11,"675,700",74
2023-11-12,"313,400",29
2023-11-13,"778,600",112
2023-11-14,"820,400",113
2023-11-15,"928,700",111
2023-11-16,"640,700",89
2023-11-17,"845,600",98
2023-11-18,"610,600",84
2023-11-19,"321,065",37
2023-11-20,"961,900",129
2023-11-21,"874,000",115
2023-11-22,"859,700",113
2023-11-23,"971,700",122
2023-11-24,"829,300",106
2023-11-25,"869,900",107
2023-11-26,"313,100",35
2023-11-27,"939,100",127
2023-11-28,"743,705",100
2023-11-29,"889,500",104
2023-11-30,"805,754",98
