2023-11 매출 (키오스크),,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Count,Sum,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-11-01,193,"1,474,730",0,0,0,0,0,0,0,"28,000","137,900","259,730","70,900","95,400","581,200","171,700","32,100","64,600","33,200",0,0,0,0,0,0,0
2023-11-02,178,"1,365,150",0,0,0,0,0,0,0,"35,300","163,160","178,560","88,960","80,000","444,450","166,600","93,920","72,700","33,100","8,400",0,0,0,0,0,0
2023-11-03,145,"1,052,382",0,0,0,0,0,0,0,"26,200","150,500","169,700","78,090","99,092","294,500","113,300","26,100","56,700","24,200","14,000",0,0,0,0,0,0
2023-11-04,21,"120,700",0,0,0,0,0,0,0,0,0,"15,000","20,800","18,600","9,400","37,300","19,600",0,0,0,0,0,0,0,0,0
2023-11-05,22,"152,200",0,0,0,0,0,0,0,0,0,"15,800","8,600","2,800","26,200","37,500","58,000","3,300",0,0,0,0,0,0,0,0
2023-11-06,150,"1,004,825",0,0,0,0,0,0,0,"41,200","42,920","93,125","94,500","70,120","318,800","157,500","38,860","72,900","71,100","3,800",0,0,0,0,0,0
2023-11-07,174,"1,275,950",0,0,0,0,0,0,0,"29,800","122,810","162,360","109,000","147,180","408,800","115,700","53,800","97,900","28,600",0,0,0,0,0,0,0
2023-11-08,178,"1,256,255",0,0,0,0,0,0,"2,800","14,000","143,500","192,700","73,800","68,000","460,255","168,500","26,700","50,800","55,200",0,0,0,0,0,0,0
2023-11-09,180,"1,285,300",0,0,0,0,0,0,0,"30,600","150,300","170,800","78,500","119,100","434,300","143,200","92,300","44,300","14,000","7,900",0,0,0,0,0,0
2023-11-10,134,"986,275",0,0,0,0,0,0,0,"23,800","116,880","135,615","94,900","43,180","290,000","124,300","49,800","76,500","31,300",0,0,0,0,0,0,0
2023-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,150,"1,046,410",0,0,0,0,0,0,0,"27,200","125,430","158,080","79,100","82,900","362,000","102,300","41,900","48,700","16,000","2,800",0,0,0,0,0,0
2023-11-14,170,"1,249,734",0,0,0,0,0,0,0,"34,600","116,045","192,790","137,000","63,400","458,600","114,899","44,800","67,300","10,700","9,600",0,0,0,0,0,0
2023-11-15,159,"1,170,200",0,0,0,0,0,0,"5,600","21,700","138,600","186,430","61,800","90,100","480,900","103,300","41,400","37,570","2,800",0,0,0,0,0,0,0
2023-11-16,137,"1,029,920",0,0,0,0,0,0,0,"23,400","44,000","244,200","82,560","56,000","319,860","122,900","92,400","24,000","15,000","5,600",0,0,0,0,0,0
2023-11-17,136,"943,790",0,0,0,0,0,0,"2,800","28,000","98,800","97,300","46,400","90,700","322,000","136,500","42,890","61,900","12,700","3,800",0,0,0,0,0,0
2023-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-20,167,"1,329,790",0,0,0,0,0,0,0,"33,600","133,300","212,290","110,600","88,000","450,300","116,400","56,900","60,400","68,000",0,0,0,0,0,0,0
2023-11-21,153,"1,061,735",0,0,0,0,0,0,0,"36,400","127,780","129,725","100,100","44,000","330,350","106,400","90,980","70,700","25,300",0,0,0,0,0,0,0
2023-11-22,164,"1,162,825",0,0,0,0,0,0,0,"35,600","103,800","256,600","58,800","106,500","340,500","149,500","28,600","61,525","21,400",0,0,0,0,0,0,0
2023-11-23,196,"1,299,110",0,0,0,0,0,0,"2,800","50,385","103,300","161,600","99,925","96,000","439,300","182,030","49,400","61,600","52,770",0,0,0,0,0,0,0
2023-11-24,110,"811,815",0,0,0,0,0,0,0,"25,965","48,770","93,000","102,500","40,700","262,100","89,500","50,500","74,880","23,900",0,0,0,0,0,0,0
2023-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-27,160,"1,132,190",0,0,0,0,0,0,"3,800","23,400","127,000","124,305","92,200","128,300","348,385","74,400","20,800","116,500","55,700","17,400",0,0,0,0,0,0
2023-11-28,156,"1,141,804",0,0,0,0,0,0,0,"28,000","126,680","102,720","47,080","116,000","420,300","134,499","94,275","48,300","23,950",0,0,0,0,0,0,0
2023-11-29,149,"1,180,000",0,0,0,0,0,0,"2,800","31,800","94,830","158,300","88,600","65,800","449,570","132,800","104,600","42,500","8,400",0,0,0,0,0,0,0
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,"3,382","24,533,090",0,0,0,0,0,0,"20,600","628,950","2,416,305","3,510,730","1,824,715","1,811,872","8,252,070","2,801,028","1,250,625","1,315,575","627,320","73,300",0,0,0,0,0,0
